Orders Order Number,Orders Shipping Zipcode,Orders Shipping State,Orders Received Date,Orders Line Items Count,Orders Total Weight,Orders Cart Value
11933,30736,GA,2019-07-07,3,634,$244.00
11810,32097,FL,2019-06-30,2,203,$35.60
12054,32408,FL,2019-07-15,4,679,$73.16
11839,32606,FL,2019-07-02,1,90,$27.40
12122,32730,FL,2019-07-21,2,90,$64.60
11821,32837,FL,2019-07-01,3,520,$76.40
12016,32931,FL,2019-07-12,3,453,$108.80
11859,33067,FL,2019-07-04,1,90,$33.60
12039,33134,FL,2019-07-14,1,0,$33.00
11909,33137,FL,2019-07-05,1,453,$18.00
11806,33444,FL,2019-06-30,1,0,$39.00
12045,33487,FL,2019-07-14,2,0,$68.80
12012,33629,FL,2019-07-12,1,453,$43.00
12003,34609,FL,2019-07-11,1,0,$28.80
12138,34691,FL,2019-07-22,1,0,$37.00
12070,34787,FL,2019-07-15,1,0,$37.00
11890,35209,AL,2019-07-05,3,656,$83.30
11908,35405,AL,2019-07-05,2,453,$59.00
12010,35901,AL,2019-07-12,3,90,$107.10
11910,37209,TN,2019-07-05,1,67,$28.00
11917,37216,TN,2019-07-06,1,0,$32.00
12098,37415,TN,2019-07-18,4,"1,087",$112.00
12113,37642,TN,2019-07-19,1,0,$68.00
11832,38122,TN,2019-07-02,2,906,$76.50
11888,41051,KY,2019-07-04,1,67,$28.00
11871,42036,KY,2019-07-04,2,453,$53.00
12107,43202,OH,2019-07-19,1,90,$33.60
12151,43228-8129,OH,2019-07-23,1,0,$39.00
11912,43623,OH,2019-07-05,6,951,$164.00
11863,44047,OH,2019-07-04,3,520,$65.00
12078,44137,OH,2019-07-17,2,543,$41.60
12203,44646,OH,2019-07-29,2,544,$66.00
11853,46241,IN,2019-07-03,1,90,$33.00
11854,46278,IN,2019-07-03,2,453,$68.40
12075,46805,IN,2019-07-16,1,90,$33.60
12092,47374,IN,2019-07-18,2,0,$51.00
12058,48009,MI,2019-07-15,3,453,$112.00
11877,48044,MI,2019-07-04,1,136,$18.00
12036,48108,MI,2019-07-14,2,453,$59.16
12198,48178,MI,2019-07-28,4,590,$132.80
12120,48226,MI,2019-07-20,2,453,$80.00
12164,48640,MI,2019-07-24,3,635,$99.60
11965,49506,MI,2019-07-09,2,226,$36.80
11797,49690,MI,2019-06-30,1,453,$43.00
11851,50010,IA,2019-07-03,1,90,$35.70
11905,50014,IA,2019-07-05,3,634,$91.80
12109,50211,IA,2019-07-19,2,0,$76.00
12185,51360,IA,2019-07-26,1,0,$46.40
12165,51360,IA,2019-07-24,2,181,$56.00
11900,52233-1717,IA,2019-07-05,2,566,$38.40
12135,52245,IA,2019-07-22,1,0,$57.80
12152,53588,WI,2019-07-23,3,136,$107.20
12193,53703,WI,2019-07-27,1,453,$44.20
11921,53703,WI,2019-07-06,2,543,$52.80
12133,53716,WI,2019-07-22,2,453,$57.60
11826,53717,WI,2019-07-01,2,67,$68.00
12060,54115,WI,2019-07-15,3,90,$83.70
11959,55102,MN,2019-07-09,2,136,$73.10
11958,55102,MN,2019-07-09,4,906,$91.00
11940,55105,MN,2019-07-08,2,67,$51.00
12172,55105,MN,2019-07-25,4,317,$97.60
12077,55113,MN,2019-07-16,2,453,$134.00
12182,55372,MN,2019-07-26,1,0,$54.40
11897,55408,MN,2019-07-05,3,656,$52.80
12129,55410,MN,2019-07-22,1,90,$28.80
12067,55414,MN,2019-07-15,1,0,$57.80
11987,55901,MN,2019-07-10,1,0,$40.80
12136,55902,MN,2019-07-22,2,0,$53.00
11935,55912,MN,2019-07-08,3,521,$75.20
11844,57434,SD,2019-07-02,1,90,$68.00
12034,58237,ND,2019-07-13,3,543,$153.60
12065,58270,ND,2019-07-15,2,453,$51.00
12002,60014,IL,2019-07-11,1,90,$47.60
11920,60048,IL,2019-07-06,1,90,$68.00
11923,60193,IL,2019-07-06,3,702,$100.30
11868,60201,IL,2019-07-04,4,973,$112.60
11957,60430,IL,2019-07-09,3,"1,041",$59.40
12056,60453-3130,IL,2019-07-15,1,0,$58.00
12043,60514,IL,2019-07-14,1,0,$54.40
12018,60625,IL,2019-07-12,1,454,$30.60
11824,60628,IL,2019-07-01,4,362,$108.00
12008,60640,IL,2019-07-12,1,453,$37.30
12145,60660,IL,2019-07-23,2,566,$48.00
11974,61615,IL,2019-07-10,1,0,$49.30
11887,62040,IL,2019-07-04,1,0,$34.00
11886,62040,IL,2019-07-04,1,0,$40.00
11980,62704,IL,2019-07-10,2,90,$58.00
11998,64056,MO,2019-07-11,7,"1,156",$210.70
12199,64057,MO,2019-07-28,1,0,$43.40
12091,66062,KS,2019-07-18,1,453,$42.44
12125,72756,AR,2019-07-21,1,90,$33.00
11996,72936,AR,2019-07-11,2,453,$56.00
11850,73120,OK,2019-07-03,1,453,$44.20
12184,75006,TX,2019-07-26,1,454,$46.60
12009,75043,TX,2019-07-12,4,543,$128.00
11906,75071,TX,2019-07-05,1,0,$48.00
12187,75219,TX,2019-07-26,1,0,$40.80
12186,75219,TX,2019-07-26,1,0,$54.40
11796,75474,TX,2019-06-29,1,0,$37.00
12111,76108,TX,2019-07-19,1,453,$34.07
12121,76185,TX,2019-07-20,1,453,$44.20
11891,76201,TX,2019-07-05,1,90,$23.00
